Publisher,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Falcom Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06999999999999999,0.18,0.51,0.87,1.07,1.1800000000000002,1.2100000000000002,,,
Fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.09,0.12,,,,
Flashpoint Games,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,0.08,,,,,,
Flight-Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.12,,,,,,,
Focus Home Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.06,0.14,1.07,1.77,2.44,4.37,4.94,7.0,7.36,7.5200000000000005
Focus Multimedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.05,
Foreign Media Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,
Fortyfive,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
Fox Interactive,,,,,,,,,,,,,,,,,1.54,5.54,6.01,7.2299999999999995,7.39,,,,,,,,,,,,,,,,
From Software,,,,,,,,,,,,,,,0.08,,0.34,0.6200000000000001,0.8400000000000001,1.1,,1.1900000000000002,1.3000000000000003,,,,1.3500000000000003,,,1.4800000000000004,1.5100000000000005,,,1.6300000000000003,,,
FuRyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.16,0.29000000000000004,0.51,0.67,1.19,1.3199999999999998
FuRyu Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,
Fuji,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
FunSoft,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,
Funbox Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8600000000000001,0.9000000000000001,,,0.9100000000000001,
Funcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.2,,,,
Funsta,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.16,0.2,,,,,,,,
G.Rev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.04,,,,,,
G5 Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,
GN Software,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.04,,0.05,,,,,,
GOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,
GSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,2.91,3.37,3.69,,,,,
GT Interactive,,,,,,,,,,,,,,,,0.27,5.98,12.39,18.17,25.23,,,,,,,,,,,,,,,,,
Gaga,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,
Gainax Network Systems,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,
Gakken,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,
Game Arts,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,
Game Factory,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.27999999999999997,0.33999999999999997,0.58,2.11,3.6399999999999997,,3.7899999999999996,,,,,,
Game Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,0.30000000000000004,,,,,,,
GameMill Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,1.17,1.41,,,,
GameTek,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,
Gamebridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.73,,,,,,,
Gamecock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,
Gameloft,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,
Gaslamp Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
Gathering of Developers,,,,,,,,,,,,,,,,,,,,,,0.67,,0.73,1.19,,,,,,,,,,,,
Gearbox Software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,
General Entertainment,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,
Genki,,,,,,,,,,,,,,,,,,,,0.17,,0.23,,1.32,,,,1.4100000000000001,,,,,1.4600000000000002,,,,
Genterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,
Ghostlight,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.51,0.73,0.94,1.1099999999999999,1.22,1.85,1.9700000000000002,2.79,,,,,
Giga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,
Giza10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,
Glams,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,
Global A Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.1,0.15000000000000002,,,,,,,,
Global Star,,,,,,,,,,,,,,,,,,,,,,,,,5.53,7.5600000000000005,7.65,,,,,,,,,,
Gotham Games,,,,,,,,,,,,,,,,,,,,,,,1.57,3.1100000000000003,3.72,,,,,,,,,,,,
Graffiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.18000000000000002,0.38,,,,,,
Grand Prix Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,
Graphsim Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,
Gremlin Interactive Ltd,,,,,,,,,,,,,,,,,0.39,0.71,1.1,,,,,,,,,,,,,,,,,,
